Order ID,Date,Product Name,Category,Quantity Sold,Unit Price,Total Sales,Discount (%),Profit Margin (%),Customer ID,Customer Age,Customer Gender,Region,Payment Method,Order Status,Shipping Cost
1,2024-03-13,Lipstick,Beauty,8,425.5,3404.0,17.63,9.48,9036,55,Male,West,Cash,Completed,8.66
2,2024-04-22,Conditioner,Beauty,9,251.48,2263.32,13.49,9.8,5757,36,Other,South,Cash,Returned,32.0
3,2024-03-19,Microwave,Home Appliances,6,279.95,1679.7,15.36,26.64,9791,19,Other,East,Bank Transfer,Shipped,5.86
4,2024-03-20,Jeans,Clothing,7,66.09,462.63,16.18,28.33,4023,58,Female,South,Bank Transfer,Pending,34.65
5,2024-08-29,Conditioner,Beauty,4,499.12,1996.48,1.49,23.07,1153,32,Female,East,PayPal,Shipped,32.46
6,2024-10-08,Tablet,Electronics,10,338.15,3381.5,8.31,28.45,7184,34,Other,South,Cash,Returned,7.39
7,2024-04-16,Smartwatch,Electronics,4,252.13,1008.52,8.37,9.47,9197,45,Male,East,Credit Card,Pending,31.62
8,2025-02-08,Jeans,Clothing,9,416.26,3746.34,11.12,5.76,3567,25,Female,West,Credit Card,Completed,16.35
9,2024-09-26,Tablet,Electronics,3,163.64,490.92,4.84,27.32,1464,22,Male,East,Debit Card,Shipped,8.2
10,2024-06-24,Headphones,Electronics,4,269.33,1077.32,14.57,13.53,1234,47,Female,West,Cash,Shipped,40.29
11,2024-08-21,Lipstick,Beauty,4,332.8,1331.2,0.46,17.29,7571,23,Other,East,Bank Transfer,Completed,33.58
12,2024-12-09,Air Conditioner,Home Appliances,9,239.18,2152.62,8.27,13.15,8833,19,Male,North,Bank Transfer,Completed,42.17
13,2025-01-29,Shampoo,Beauty,7,229.64,1607.48,16.65,20.69,6103,20,Other,West,Bank Transfer,Shipped,39.52
14,2024-03-13,Headphones,Electronics,4,116.03,464.12,18.16,15.57,1970,31,Male,North,Debit Card,Completed,31.3
15,2024-08-16,Headphones,Electronics,4,337.3,1349.2,13.05,8.85,4025,30,Other,South,Bank Transfer,Completed,29.82
16,2024-11-11,Perfume,Beauty,4,412.66,1650.64,11.13,20.67,1804,52,Female,East,Bank Transfer,Returned,42.52
17,2024-12-26,Air Conditioner,Home Appliances,9,128.63,1157.67,0.33,20.61,7907,54,Male,North,Credit Card,Shipped,16.72
18,2024-08-13,Smartphone,Electronics,1,301.39,301.39,2.54,15.63,2881,50,Other,North,PayPal,Cancelled,39.42
19,2024-08-27,Jacket,Clothing,10,360.89,3608.9,16.91,19.11,7265,41,Male,South,Debit Card,Returned,7.31
20,2024-11-11,Shampoo,Beauty,4,341.95,1367.8,12.44,19.56,9362,20,Male,West,Cash,Pending,8.69
21,2024-09-23,Headphones,Electronics,7,454.62,3182.34,5.68,17.62,4479,26,Female,East,Cash,Completed,12.27
22,2024-03-18,Jeans,Clothing,10,437.06,4370.6,8.66,10.79,2410,35,Other,East,Credit Card,Pending,6.04
23,2025-01-18,Smartwatch,Electronics,8,432.45,3459.6,1.85,11.44,8707,58,Other,East,Cash,Cancelled,49.92
24,2025-01-18,Smartwatch,Electronics,7,486.97,3408.79,17.73,18.53,2275,33,Female,West,Bank Transfer,Returned,30.99
